Date,USD_PKR,USD_IRR,PKR_IRR,PKR_USD,IRR_USD,Year,Month,Quarter,DayOfWeek,WeekOfYear,PKR_DailyChange%,IRR_DailyChange%,PKR_MA30,PKR_MA90,IRR_MA30,IRR_MA90,PKR_Volatility30,IRR_Volatility30,PKR_CumChange%,IRR_CumChange%,Decade,PKR_Drawdown%,IRR_Drawdown%
2010-05-10,82.99600219726562,9738.900390625,117.34180120480377,0.012048773115880826,0.00010268099681588636,2010,5,2,0,19,-1.4299225589243902,-1.6272687815656606,83.75933354695638,84.0428333706326,9854.030013020832,9760.881108940972,0.5839362658578847,0.9442198475367949,37.970249989980516,17.360189675525355,2010s,50.19454549157227,19.330261400658188
2010-05-11,83.9000015258789,9920.0,118.23599308207619,0.011918950915531874,0.00010080645161290323,2010,5,2,1,19,1.0892082807369974,1.8595488413592598,83.76766688028971,84.03561113145616,9855.6966796875,9763.018891059028,0.6181383153407195,0.9589553339415627,39.473033377824926,19.54255972285362,2010s,51.830476918281775,21.54926589392511
2010-05-12,84.05000305175781,8814.0,104.86614729296747,0.011897679520418364,0.00011345586566825505,2010,5,2,2,19,0.17878608242056782,-11.149193548387093,83.77766698201498,84.03283335367838,9820.330013020834,9752.95888671875,0.6185888582058017,2.253470518368456,39.72239175023425,6.214528366656432,2010s,52.10192867988442,7.997502982767733
2010-05-13,84.1500015258789,9920.0,117.88472751185004,0.011883541079823593,0.00010080645161290323,2010,5,2,3,19,0.11897497976236515,12.548218742909011,83.77766698201498,84.03880004882812,9821.9966796875,9755.221104600694,0.612753685078478,3.260530165826743,39.888626437542584,19.54255972285362,2010s,52.282891918749485,21.54926589392511
2010-05-14,84.19999694824219,9925.0,117.87411353590555,0.011876484991023228,0.00010075566750629723,2010,5,2,4,19,0.059412265545710774,0.05040322580645018,83.78433354695638,84.04178890652126,9830.783333333333,9757.48777126736,0.6118810125888984,3.234439798128855,39.971737439749916,19.602813029165542,2010s,52.37336663487695,21.61053064487971
2010-05-17,82.69400024414062,9691.099609375,117.19229425065421,0.012092775740049607,0.00010318746481901986,2010,5,2,0,20,-1.7885947252792689,-2.356678998740558,83.74246699015299,84.03037779066298,9824.6533203125,9757.193326822917,0.694488419882871,3.2410960283959116,37.4682103270208,16.784158652604265,2010s,49.6480246365151,18.744560808914883
2010-05-18,84.4000015258789,9900.0,117.29857607839546,0.011848341018019744,0.00010101010101010101,2010,5,2,1,20,2.0630290912298177,2.1555901708296688,83.76413370768229,84.03884446885851,9825.486653645834,9759.285546875,0.7928637102870323,3.265180459708322,40.30421949726024,19.30154649760593,2010s,52.73530691921719,21.304206890106713
2010-05-19,81.47599792480469,9553.0,117.24925429961097,0.01227355326071506,0.00010467915837956663,2010,5,2,2,20,-3.4644591803445146,-3.5050505050505,83.70000025431315,84.01408886379666,9814.7533203125,9757.438878038194,1.015812381110214,3.3294646361225686,35.4434370844767,15.119967039558531,2010s,47.443854557026995,17.052433173857516
2010-05-20,84.19999694824219,9925.0,117.87411353590555,0.011876484991023228,0.00010075566750629723,2010,5,2,3,20,3.3433147096295857,3.8940646917198896,83.7216667175293,84.02257775200738,9816.3533203125,9759.581098090277,1.1918747110326844,3.406792825680634,39.971737439749916,19.602813029165542,2010s,52.37336663487695,21.61053064487971
2010-05-21,84.5,9930.0,117.51479289940828,0.011834319526627219,0.00010070493454179255,2010,5,2,4,20,0.3562981741462856,0.05037783375314575,83.74166666666666,84.03801108466254,9818.186653645833,9761.759982638889,1.1912297847467843,3.406751324943082,40.470454184568574,19.663066335477463,2010s,52.916270158082234,21.67179539583431
2010-05-24,84.4000015258789,9950.0,117.89099312929645,0.011848341018019744,0.00010050251256281407,2010,5,2,0,21,-0.11834138949241568,0.20140986908359082,83.75833333333334,84.05061111450195,9820.686653645833,9764.20998263889,1.1915305960056508,3.4067983222373983,40.30421949726024,19.90407956072515,2010s,52.73530691921719,21.916854399652706
2010-05-25,84.6500015258789,9975.0,117.83815499342286,0.01181334887152109,0.00010025062656641604,2010,5,2,1,21,0.29620852545049203,0.2512562814070307,83.83159993489583,84.06268886990017,9829.793326822917,9767.008875868056,1.145268566888541,3.3891812868229576,40.7198125569779,20.205346092284763,2010s,53.18772191968488,22.223178154425703
2010-05-26,84.4000015258789,9970.0,118.12795994965684,0.011848341018019744,0.00010030090270812437,2010,5,2,2,21,-0.29533372178802697,-0.05012531328321135,83.86159998575846,84.0727889166938,9832.12666015625,9769.688878038194,1.125292244974837,3.370315668556137,40.30421949726024,20.145092785972842,2010s,52.73530691921719,22.161913403471104
2010-05-27,85.0,9975.0,117.3529411764706,0.011764705882352941,0.00010025062656641604,2010,5,2,3,21,0.7108986531678241,0.05015045135405849,83.90826670328777,84.09041112263998,9835.459993489583,9772.527766927084,1.131859648609761,3.3697448495180176,41.30164030400389,20.205346092284763,2010s,53.82110015901763,22.223178154425703
2010-05-28,85.0,9970.0,117.29411764705883,0.011764705882352941,0.00010030090270812437,2010,5,2,4,21,0.0,-0.05012531328321135,83.97553329467773,84.10821109347873,9843.233333333334,9775.277766927084,1.1218268755555882,3.358188738899485,41.30164030400389,20.145092785972842,2010s,53.82110015901763,22.161913403471104
